Request Number,Create Date,Summary,Request Status
C006266-063022,6/30/2022 18:47,"Report 2022157551 06/21/2022

Could I get the fire report for the property in 4230 wiley college Dallas, Tx 75216.",Full Release - PD108
C006265-063022,6/30/2022 18:06,"I'm having some difficulties locating an open record for a citation sent to landlord Enrique Esparza.
Tried to access thru City of Dallas/ open records website.

Searched by address:
3910 & 3912 Cauthorn Dallas Tx 75210

Date City Investigator; 
Gustavo came to address on June 06, 2022 

We are needing a copy of the citation for court on July 08, 2022

Thank you so much",No Records Exist
C006264-063022,6/30/2022 17:57,"Attached please find a letter sent on 5/2/22 requesting light sequencing records.  As well as attaching the original letter, I have listed the information below.  Could you please advise if anything else is needed for this?

OPEN RECORDS REQUEST

Requested Information: 
Requesting the light sequencing information for the intersection of Lamar St. and Commerce St., Dallas, Texas (copy of accident report is attached for reference) on or about 09/04/20 at approximately 5:57 a.m.  
Any and all videos from traffic cameras for said intersection on date of accident 09/04/20 for the time frame of 5:30 a.m. to 6:30 a.m.

Person Making Request: Nancy Paul",Full Release/Partial DPD
C006256-063022,6/30/2022 16:16,"LaNette Mitchell - Employee ID #57064 - Departments worked:
1999 - 2000    Police Department - Youth and Family Crimes Division
2000 - 2005    Public Works Department - Engineering Division
2005 - 2008    Water Utilities Department - Water Vault Division, Street Services Department - District-1 Division
2008 - 2016    Water Utilities Department - Water Vault Division, Water Utilities Department - Mapping Division
2016 - 2019    Public Works Department - Engineering Division 
2018 - 2019    Sustainable Development & Construction Department - Subdivision and Platting Division
2019               Public Works Department - Engineering Division, Street Maintenance Area Division

Request 1: Disciplinary Actions:
Need all documentations regarding LaNette Mitchell's past history of disciplinary actions and all the over-turns of each of her disciplinary actions and all the uphelds of each of her disciplinary actions in all departments she has worked.
•	- Request letter of reprimand on May 9, 2018 disciplinary action letter and the overturn/upheld outcome letter results in Public Works Dept. following appeal.
•	
•	- Request letter of reprimand on January 12, 2015  disciplinary action letter and the overturn/upheld outcome letter results in Dallas Water Utilities Dept. following appeal.
•	 
•	- Request letter 14-day suspension on February 4, 2005 disciplinary action letter and the overturn/upheld outcome letter results in Public Works Dept. following appeal.
•	
•	- Request letter of reprimand  on August 31, 2004 disciplinary action letter and the overturn/upheld outcome letter results in Public Works Dept. following appeal.
•	
•	- Request letter of reprimand on May 20, 2002 disciplinary action letter and the overturn/upheld outcome letter results in Public Works Dept. following appeal.
•	
•	- Request letter of reprimand on September 28, 2001 disciplinary action letter and the overturn/upheld outcome letter results in Public Works Dept. following appeal.

LaNette Mitchell - Employee ID #57064 - Departments worked:
1999 - 2000    Police Department - Youth and Family Crimes Division
2000 - 2005    Public Works Department - Engineering Division
2005 - 2008    Water Utilities Department - Water Vault Division, Street Services Department - District-1 Division
2008 - 2016    Water Utilities Department - Water Vault Division, Water Utilities Department - Mapping Division
2016 - 2019    Public Works Department - Engineering Division 
2018 - 2019    Sustainable Development & Construction Department - Subdivision and Platting Division
2019               Public Works Department - Engineering Division, Street Maintenance Area Division

Request 2: Performance Evaluations:
Need all documentations regarding LaNette Mitchell's yearly Performance Evaluations in each Division and Department she has worked in starting in Fiscal year 2000.
•	request - Performance Evaluation for Fiscal Year  October 2000 - September 2001
•	request - Performance Evaluation for Fiscal Year  October 2001 - September 2002
•	request - Performance Evaluation for Fiscal Year  October 2002 - September 2003
•	request - Performance Evaluation for Fiscal Year  October 2003 - September 2004
•	request - Performance Evaluation for Fiscal Year  October 2004 - September 2005
•	request - Performance Evaluation for Fiscal Year  October 2005 - September 2006
•	request - Performance Evaluation for Fiscal Year  October 2006 - September 2007
•	request - Performance Evaluation for Fiscal Year  October 2007 - September 2008
•	request - Performance Evaluation for Fiscal Year  October 2008 - September 2009
•	request - Performance Evaluation for Fiscal Year  October 2009 - September 2010
•	request - Performance Evaluation for Fiscal Year  October 2011 - September 2012
•	request - Performance Evaluation for Fiscal Year  October 2012 - September 2013
•	request - Performance Evaluation for Fiscal Year  October 2013 - September 2014
•	request - Performance Evaluation for Fiscal Year  October 2014 - Septembe",Attorney General – 10 Day 
C006254-063022,6/30/2022 15:57,I am needing the bonding information for the General Contractor Oscar Renda Contracting aka Southland Holdings for the DWU major vaults project.,Full Release
C006253-063022,6/30/2022 15:45,Code Compliance Inspection Documents for 3922 S Fitghugh,Processing
C006252-063022,6/30/2022 14:40,"Seeking any proposals received and contracts awarded to TIP Strategies, angelous economics, and any other firm retained for Economic Development strategic planning, review, development from 2015 - 2022.",Full Release
C006250-063022,6/30/2022 14:18,"Fire Report for 3150 Cliff Crossing Apt #1804

October 2021",Full Release
C006247-063022,6/30/2022 13:06,"Animal Control # DAS 22-00255853--Incident Number for dog attack on June 16, 2022 including any call records, investigative reports, video, witness statements or photographs regarding this incident.",Full Release
C006246-063022,6/30/2022 12:50,"Hi,
I am requesting a list of all residential rental properties in the city of DALLAS that were registered any time between  June 1, 2022 and June 30, 2022. I only need the property addresses. I do not want any other information regarding the rental properties. Please email to   info@savoyacquisitions.com

Thank you and keep safe!",Time Extension
